invoice_id,branch,city,customer_type,gender,prouduct_line,unit_price,quantity,VAT,total,date,time,payment_method,cogs,gross_margin_percentage,gross_income,rating
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,15.655,328.76,3/10/2019 0:00,19:15:00,Ewallet,313.1,gross_margin_percentage,15.66,7
130-67-4723,A,Yangon,Member,Male,Food and beverages,48.5,6,14.55,305.55,1/11/2019 0:00,13:57:00,Ewallet,291,gross_margin_percentage,14.55,9.4
130-98-8941,C,Naypyitaw,Normal,Male,Fashion accessories,64.26,7,22.491,472.31,2/9/2019 0:00,10:00:00,Cash,449.82,gross_margin_percentage,22.49,5.7
131-15-8856,C,Naypyitaw,Member,Female,Food and beverages,72.52,8,29.008,609.17,3/30/2019 0:00,19:26:00,Credit card,580.16,gross_margin_percentage,29.01,4
131-70-8179,A,Yangon,Member,Female,Health and beauty,92.09,3,13.8135,290.08,2/17/2019 0:00,16:27:00,Cash,276.27,gross_margin_percentage,13.81,4.2
132-23-6451,A,Yangon,Member,Male,Health and beauty,20.97,5,5.2425,110.09,1/4/2019 0:00,13:21:00,Cash,104.85,gross_margin_percentage,5.24,7.8
132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.63,3/9/2019 0:00,18:00:00,Cash,375.84,gross_margin_percentage,18.79,9.5
133-14-7229,C,Naypyitaw,Normal,Male,Health and beauty,62.87,2,6.287,132.03,1/1/2019 0:00,11:43:00,Cash,125.74,gross_margin_percentage,6.29,5
133-77-3154,B,Mandalay,Member,Male,Fashion accessories,60.18,4,12.036,252.76,2/16/2019 0:00,18:04:00,Credit card,240.72,gross_margin_percentage,12.04,9.4
134-54-4720,B,Mandalay,Normal,Female,Electronic accessories,42.42,8,16.968,356.33,1/30/2019 0:00,13:58:00,Ewallet,339.36,gross_margin_percentage,16.97,5.7
134-75-2619,A,Yangon,Member,Male,Electronic accessories,19.32,7,6.762,142,3/25/2019 0:00,18:51:00,Cash,135.24,gross_margin_percentage,6.76,6.9
135-13-8269,B,Mandalay,Member,Female,Food and beverages,78.88,2,7.888,165.65,1/26/2019 0:00,16:04:00,Cash,157.76,gross_margin_percentage,7.89,9.1
135-84-8019,A,Yangon,Normal,Female,Fashion accessories,77.93,9,35.0685,736.44,2/27/2019 0:00,16:10:00,Ewallet,701.37,gross_margin_percentage,35.07,7.6
136-08-6195,A,Yangon,Normal,Female,Home and lifestyle,69.96,8,27.984,587.66,2/15/2019 0:00,17:01:00,Credit card,559.68,gross_margin_percentage,27.98,6.4
137-63-5492,C,Naypyitaw,Normal,Male,Electronic accessories,58.76,10,29.38,616.98,1/29/2019 0:00,14:26:00,Ewallet,587.6,gross_margin_percentage,29.38,9
137-74-8729,C,Naypyitaw,Normal,Female,Fashion accessories,12.19,8,4.876,102.4,3/13/2019 0:00,12:47:00,Ewallet,97.52,gross_margin_percentage,4.88,6.8
138-17-5109,A,Yangon,Member,Female,Home and lifestyle,89.21,9,40.1445,843.03,1/15/2019 0:00,15:42:00,Credit card,802.89,gross_margin_percentage,40.14,6.5
139-20-0155,B,Mandalay,Member,Male,Electronic accessories,40.3,10,20.15,423.15,1/24/2019 0:00,17:37:00,Credit card,403,gross_margin_percentage,20.15,7
139-32-4183,A,Yangon,Member,Female,Sports and travel,97.48,9,43.866,921.19,3/14/2019 0:00,14:19:00,Ewallet,877.32,gross_margin_percentage,43.87,7.4
139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories,22.51,7,7.8785,165.45,2/13/2019 0:00,10:50:00,Credit card,157.57,gross_margin_percentage,7.88,4.8
142-63-6033,B,Mandalay,Normal,Male,Home and lifestyle,92.36,5,23.09,484.89,3/20/2019 0:00,19:17:00,Ewallet,461.8,gross_margin_percentage,23.09,4.9
142-72-4741,C,Naypyitaw,Member,Male,Fashion accessories,93.2,2,9.32,195.72,2/28/2019 0:00,18:37:00,Credit card,186.4,gross_margin_percentage,9.32,6
144-51-6085,A,Yangon,Member,Male,Home and lifestyle,70.74,4,14.148,297.11,1/5/2019 0:00,16:05:00,Credit card,282.96,gross_margin_percentage,14.15,4.4
145-94-9061,B,Mandalay,Normal,Female,Food and beverages,88.36,5,22.09,463.89,1/25/2019 0:00,19:48:00,Cash,441.8,gross_margin_percentage,22.09,9.6
146-09-5432,A,Yangon,Member,Male,Food and beverages,35.04,9,15.768,331.13,2/9/2019 0:00,19:17:00,Ewallet,315.36,gross_margin_percentage,15.77,4.6
148-41-7930,C,Naypyitaw,Normal,Male,Health and beauty,99.96,7,34.986,734.71,1/23/2019 0:00,10:33:00,Cash,699.72,gross_margin_percentage,34.99,6.1
148-82-2527,C,Naypyitaw,Member,Female,Home and lifestyle,12.12,10,6.06,127.26,3/5/2019 0:00,13:44:00,Credit card,121.2,gross_margin_percentage,6.06,8.4
149-14-0304,C,Naypyitaw,Member,Female,Health and beauty,28.5,8,11.4,239.4,2/6/2019 0:00,14:24:00,Cash,228,gross_margin_percentage,11.4,6.6
149-15-7606,B,Mandalay,Member,Male,Sports and travel,37.32,9,16.794,352.67,3/6/2019 0:00,15:31:00,Ewallet,335.88,gross_margin_percentage,16.79,5.1
149-61-1929,A,Yangon,Normal,Male,Sports and travel,64.19,10,32.095,674,1/19/2019 0:00,14:08:00,Credit card,641.9,gross_margin_percentage,32.1,6.7
149-71-6266,B,Mandalay,Member,Male,Sports and travel,78.07,9,35.1315,737.76,1/28/2019 0:00,12:43:00,Cash,702.63,gross_margin_percentage,35.13,4.5
150-89-8043,A,Yangon,Normal,Male,Sports and travel,44.65,3,6.6975,140.65,2/14/2019 0:00,15:04:00,Cash,133.95,gross_margin_percentage,6.7,6.2
151-16-1484,A,Yangon,Member,Male,Electronic accessories,32.25,4,6.45,135.45,2/13/2019 0:00,12:38:00,Ewallet,129,gross_margin_percentage,6.45,6.5
151-27-8496,C,Naypyitaw,Normal,Female,Electronic accessories,56.13,4,11.226,235.75,1/19/2019 0:00,11:43:00,Ewallet,224.52,gross_margin_percentage,11.23,8.6
151-33-7434,B,Mandalay,Normal,Female,Food and beverages,67.77,1,3.3885,71.16,2/4/2019 0:00,20:43:00,Credit card,67.77,gross_margin_percentage,3.39,6.5
152-03-4217,B,Mandalay,Normal,Female,Home and lifestyle,11.28,9,5.076,106.6,3/17/2019 0:00,11:55:00,Credit card,101.52,gross_margin_percentage,5.08,4.3
152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,608.2,3/12/2019 0:00,12:09:00,Credit card,579.24,gross_margin_percentage,28.96,8.6
152-68-2907,A,Yangon,Normal,Male,Food and beverages,52.2,3,7.83,164.43,2/15/2019 0:00,13:30:00,Credit card,156.6,gross_margin_percentage,7.83,9.5
153-58-4872,C,Naypyitaw,Member,Female,Food and beverages,74.89,4,14.978,314.54,3/1/2019 0:00,15:32:00,Ewallet,299.56,gross_margin_percentage,14.98,4.2
154-74-7179,B,Mandalay,Normal,Male,Sports and travel,54.45,1,2.7225,57.17,2/26/2019 0:00,19:24:00,Ewallet,54.45,gross_margin_percentage,2.72,7.9
154-87-7367,C,Naypyitaw,Normal,Male,Home and lifestyle,65.26,8,26.104,548.18,3/15/2019 0:00,14:04:00,Ewallet,522.08,gross_margin_percentage,26.1,6.3
155-45-3814,C,Naypyitaw,Member,Female,Electronic accessories,88.55,8,35.42,743.82,3/19/2019 0:00,15:29:00,Ewallet,708.4,gross_margin_percentage,35.42,4.7
156-20-0370,B,Mandalay,Normal,Female,Electronic accessories,25.45,1,1.2725,26.72,3/10/2019 0:00,18:10:00,Credit card,25.45,gross_margin_percentage,1.27,5.1
156-95-3964,A,Yangon,Normal,Female,Food and beverages,55.39,4,11.078,232.64,3/25/2019 0:00,15:19:00,Ewallet,221.56,gross_margin_percentage,11.08,8
157-13-5295,A,Yangon,Member,Male,Health and beauty,51.94,10,25.97,545.37,3/9/2019 0:00,18:24:00,Ewallet,519.4,gross_margin_percentage,25.97,6.5
160-22-2687,A,Yangon,Member,Female,Health and beauty,95.95,5,23.9875,503.74,1/23/2019 0:00,14:21:00,Ewallet,479.75,gross_margin_percentage,23.99,8.8
162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.1,2/10/2019 0:00,15:10:00,Cash,222.95,gross_margin_percentage,11.15,8.5
162-65-8559,C,Naypyitaw,Member,Male,Food and beverages,68.98,1,3.449,72.43,1/21/2019 0:00,20:13:00,Cash,68.98,gross_margin_percentage,3.45,4.8
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,51.15,3/26/2019 0:00,19:20:00,Cash,48.71,gross_margin_percentage,2.44,4.1
166-19-2553,A,Yangon,Member,Male,Sports and travel,89.06,6,26.718,561.08,1/18/2019 0:00,17:26:00,Cash,534.36,gross_margin_percentage,26.72,9.9
169-52-4504,A,Yangon,Normal,Female,Electronic accessories,15.69,3,2.3535,49.42,3/14/2019 0:00,14:13:00,Credit card,47.07,gross_margin_percentage,2.35,5.8
172-42-8274,B,Mandalay,Normal,Female,Electronic accessories,38.27,2,3.827,80.37,3/2/2019 0:00,18:18:00,Credit card,76.54,gross_margin_percentage,3.83,5.8
173-50-1108,B,Mandalay,Member,Female,Sports and travel,20.18,4,4.036,84.76,2/13/2019 0:00,12:14:00,Credit card,80.72,gross_margin_percentage,4.04,5
173-57-2300,C,Naypyitaw,Member,Male,Sports and travel,72.88,2,7.288,153.05,3/13/2019 0:00,12:51:00,Cash,145.76,gross_margin_percentage,7.29,6.1
173-82-9529,B,Mandalay,Normal,Female,Fashion accessories,37.95,10,18.975,398.48,1/26/2019 0:00,14:51:00,Cash,379.5,gross_margin_percentage,18.98,9.7
174-36-3675,C,Naypyitaw,Member,Male,Food and beverages,99.37,2,9.937,208.68,2/14/2019 0:00,17:29:00,Cash,198.74,gross_margin_percentage,9.94,5.2
174-64-0215,B,Mandalay,Normal,Male,Sports and travel,69.74,10,34.87,732.27,3/5/2019 0:00,17:49:00,Credit card,697.4,gross_margin_percentage,34.87,8.9
174-75-0888,B,Mandalay,Normal,Male,Electronic accessories,21.58,9,9.711,203.93,3/14/2019 0:00,12:32:00,Cash,194.22,gross_margin_percentage,9.71,7.3
175-54-2529,A,Yangon,Member,Male,Food and beverages,22.17,8,8.868,186.23,3/3/2019 0:00,17:01:00,Credit card,177.36,gross_margin_percentage,8.87,9.6
176-64-7711,B,Mandalay,Normal,Male,Food and beverages,32.32,3,4.848,101.81,3/27/2019 0:00,19:11:00,Credit card,96.96,gross_margin_percentage,4.85,4.3
176-78-1170,C,Naypyitaw,Member,Male,Health and beauty,33.81,3,5.0715,106.5,1/26/2019 0:00,15:11:00,Ewallet,101.43,gross_margin_percentage,5.07,7.3
181-82-6255,B,Mandalay,Normal,Female,Home and lifestyle,16.37,6,4.911,103.13,2/8/2019 0:00,10:58:00,Cash,98.22,gross_margin_percentage,4.91,7
181-94-6432,C,Naypyitaw,Member,Male,Fashion accessories,69.33,2,6.933,145.59,2/5/2019 0:00,19:05:00,Ewallet,138.66,gross_margin_percentage,6.93,9.7
182-52-7000,A,Yangon,Member,Female,Sports and travel,27.04,4,5.408,113.57,1/1/2019 0:00,20:26:00,Ewallet,108.16,gross_margin_percentage,5.41,6.9
182-69-8360,B,Mandalay,Normal,Female,Electronic accessories,23.65,4,4.73,99.33,1/30/2019 0:00,13:32:00,Credit card,94.6,gross_margin_percentage,4.73,4
182-88-2763,B,Mandalay,Member,Male,Food and beverages,79.91,3,11.9865,251.72,3/20/2019 0:00,19:28:00,Credit card,239.73,gross_margin_percentage,11.99,5
183-21-3799,C,Naypyitaw,Normal,Female,Electronic accessories,77.63,9,34.9335,733.6,2/19/2019 0:00,15:14:00,Ewallet,698.67,gross_margin_percentage,34.93,7.2
183-56-6882,C,Naypyitaw,Member,Female,Food and beverages,99.42,4,19.884,417.56,2/6/2019 0:00,10:42:00,Ewallet,397.68,gross_margin_percentage,19.88,7.5
186-09-3669,C,Naypyitaw,Member,Female,Health and beauty,81.51,1,4.0755,85.59,1/22/2019 0:00,10:57:00,Ewallet,81.51,gross_margin_percentage,4.08,9.2
186-43-8965,A,Yangon,Member,Female,Home and lifestyle,47.68,2,4.768,100.13,2/24/2019 0:00,10:10:00,Credit card,95.36,gross_margin_percentage,4.77,4.1
186-71-5196,A,Yangon,Member,Female,Food and beverages,79.54,2,7.954,167.03,3/27/2019 0:00,16:30:00,Ewallet,159.08,gross_margin_percentage,7.95,6.2
186-79-9562,B,Mandalay,Normal,Male,Health and beauty,71.77,7,25.1195,527.51,3/29/2019 0:00,14:06:00,Cash,502.39,gross_margin_percentage,25.12,8.9
187-83-5490,A,Yangon,Member,Male,Electronic accessories,20.77,4,4.154,87.23,1/31/2019 0:00,13:47:00,Cash,83.08,gross_margin_percentage,4.15,4.7
188-55-0967,B,Mandalay,Member,Male,Health and beauty,66.47,10,33.235,697.94,1/15/2019 0:00,15:01:00,Credit card,664.7,gross_margin_percentage,33.24,5
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,299.85,1/8/2019 0:00,16:17:00,Credit card,285.57,gross_margin_percentage,14.28,5.9
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2,8.767,184.11,3/10/2019 0:00,12:17:00,Credit card,175.34,gross_margin_percentage,8.77,7.7
189-40-5216,C,Naypyitaw,Normal,Male,Electronic accessories,96.37,7,33.7295,708.32,1/9/2019 0:00,11:40:00,Cash,674.59,gross_margin_percentage,33.73,6
189-52-0236,A,Yangon,Normal,Male,Electronic accessories,99.55,7,34.8425,731.69,3/14/2019 0:00,12:07:00,Cash,696.85,gross_margin_percentage,34.84,7.6
189-55-2313,C,Naypyitaw,Normal,Female,Fashion accessories,62.18,10,31.09,652.89,1/31/2019 0:00,10:33:00,Ewallet,621.8,gross_margin_percentage,31.09,6
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.3,3/1/2019 0:00,13:22:00,Cash,706.95,gross_margin_percentage,35.35,7.2
190-14-3147,B,Mandalay,Normal,Female,Health and beauty,17.97,4,3.594,75.47,2/23/2019 0:00,20:43:00,Ewallet,71.88,gross_margin_percentage,3.59,6.4
190-59-3964,B,Mandalay,Member,Male,Food and beverages,47.16,5,11.79,247.59,2/3/2019 0:00,14:35:00,Credit card,235.8,gross_margin_percentage,11.79,6
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,291.21,1/25/2019 0:00,13:18:00,Cash,277.34,gross_margin_percentage,13.87,7.5
191-29-0321,B,Mandalay,Member,Female,Fashion accessories,19.77,10,9.885,207.59,2/27/2019 0:00,18:57:00,Credit card,197.7,gross_margin_percentage,9.89,5
192-98-7397,C,Naypyitaw,Normal,Male,Fashion accessories,12.78,1,0.639,13.42,1/8/2019 0:00,14:11:00,Ewallet,12.78,gross_margin_percentage,0.64,9.5
195-06-0432,A,Yangon,Member,Male,Home and lifestyle,81.01,3,12.1515,255.18,1/13/2019 0:00,12:55:00,Credit card,243.03,gross_margin_percentage,12.15,9.3
196-01-2849,C,Naypyitaw,Member,Female,Fashion accessories,73.38,7,25.683,539.34,2/10/2019 0:00,13:56:00,Cash,513.66,gross_margin_percentage,25.68,9.5
197-77-7132,B,Mandalay,Member,Male,Electronic accessories,91.56,8,36.624,769.1,1/12/2019 0:00,18:22:00,Ewallet,732.48,gross_margin_percentage,36.62,6
198-66-9832,B,Mandalay,Member,Female,Fashion accessories,72.04,2,7.204,151.28,2/4/2019 0:00,19:38:00,Cash,144.08,gross_margin_percentage,7.2,9.5
198-84-7132,B,Mandalay,Member,Male,Fashion accessories,40.61,9,18.2745,383.76,1/2/2019 0:00,13:40:00,Cash,365.49,gross_margin_percentage,18.27,7
199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.01,3/6/2019 0:00,12:27:00,Credit card,158.1,gross_margin_percentage,7.91,8.6
200-16-5952,C,Naypyitaw,Member,Male,Food and beverages,65.65,2,6.565,137.87,1/17/2019 0:00,16:46:00,Cash,131.3,gross_margin_percentage,6.57,6
200-40-6154,B,Mandalay,Member,Male,Home and lifestyle,65.91,6,19.773,415.23,2/9/2019 0:00,11:45:00,Cash,395.46,gross_margin_percentage,19.77,5.7
201-63-8275,C,Naypyitaw,Member,Female,Sports and travel,67.99,7,23.7965,499.73,2/17/2019 0:00,16:50:00,Ewallet,475.93,gross_margin_percentage,23.8,5.7
201-86-2184,B,Mandalay,Member,Female,Electronic accessories,26.26,7,9.191,193.01,2/2/2019 0:00,19:40:00,Cash,183.82,gross_margin_percentage,9.19,9.9
207-73-1363,B,Mandalay,Normal,Male,Health and beauty,69.51,2,6.951,145.97,3/1/2019 0:00,12:15:00,Ewallet,139.02,gross_margin_percentage,6.95,8.1
209-61-0206,A,Yangon,Normal,Female,Home and lifestyle,42.91,5,10.7275,225.28,1/5/2019 0:00,17:29:00,Ewallet,214.55,gross_margin_percentage,10.73,6.1
210-30-7976,B,Mandalay,Member,Female,Fashion accessories,22.32,4,4.464,93.74,3/14/2019 0:00,11:16:00,Ewallet,89.28,gross_margin_percentage,4.46,4.1
210-57-1719,B,Mandalay,Normal,Female,Health and beauty,58.24,9,26.208,550.37,2/5/2019 0:00,12:34:00,Cash,524.16,gross_margin_percentage,26.21,9.7
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.36,2/5/2019 0:00,10:41:00,Credit card,294.63,gross_margin_percentage,14.73,7.8
210-74-9613,C,Naypyitaw,Normal,Male,Fashion accessories,97.26,4,19.452,408.49,3/16/2019 0:00,15:33:00,Ewallet,389.04,gross_margin_percentage,19.45,6.8
211-05-0490,C,Naypyitaw,Member,Female,Electronic accessories,51.92,5,12.98,272.58,3/3/2019 0:00,13:42:00,Cash,259.6,gross_margin_percentage,12.98,7.5
211-30-9270,C,Naypyitaw,Normal,Male,Health and beauty,17.41,5,4.3525,91.4,1/28/2019 0:00,15:16:00,Credit card,87.05,gross_margin_percentage,4.35,4.9
212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,367.04,3/28/2019 0:00,16:44:00,Cash,349.56,gross_margin_percentage,17.48,9.9
213-32-1216,A,Yangon,Normal,Female,Electronic accessories,66.06,6,19.818,416.18,1/23/2019 0:00,10:28:00,Cash,396.36,gross_margin_percentage,19.82,7.3
213-72-6612,A,Yangon,Normal,Male,Food and beverages,43.25,2,4.325,90.83,3/20/2019 0:00,15:56:00,Cash,86.5,gross_margin_percentage,4.33,6.2
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages,16.48,6,4.944,103.82,2/7/2019 0:00,18:23:00,Ewallet,98.88,gross_margin_percentage,4.94,9.9
214-30-2776,B,Mandalay,Member,Female,Electronic accessories,34.49,5,8.6225,181.07,3/11/2019 0:00,19:44:00,Credit card,172.45,gross_margin_percentage,8.62,9
217-58-1179,A,Yangon,Member,Male,Home and lifestyle,62.65,4,12.53,263.13,1/5/2019 0:00,11:25:00,Cash,250.6,gross_margin_percentage,12.53,4.2
218-59-9410,A,Yangon,Member,Female,Home and lifestyle,72.42,3,10.863,228.12,3/29/2019 0:00,16:54:00,Ewallet,217.26,gross_margin_percentage,10.86,8.2
219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,44.982,944.62,3/9/2019 0:00,17:26:00,Credit card,899.64,gross_margin_percentage,44.98,4.2
219-61-4139,C,Naypyitaw,Normal,Male,Electronic accessories,83.08,1,4.154,87.23,1/23/2019 0:00,17:16:00,Ewallet,83.08,gross_margin_percentage,4.15,6.4
220-28-1851,A,Yangon,Normal,Male,Home and lifestyle,34.73,2,3.473,72.93,3/1/2019 0:00,18:14:00,Ewallet,69.46,gross_margin_percentage,3.47,9.7
220-68-6701,A,Yangon,Normal,Female,Home and lifestyle,77.47,4,15.494,325.37,3/17/2019 0:00,16:36:00,Cash,309.88,gross_margin_percentage,15.49,4.2
221-25-5073,A,Yangon,Normal,Female,Food and beverages,74.66,4,14.932,313.57,3/4/2019 0:00,10:39:00,Cash,298.64,gross_margin_percentage,14.93,8.5
222-42-0244,B,Mandalay,Member,Female,Health and beauty,72.11,9,32.4495,681.44,1/28/2019 0:00,13:53:00,Credit card,648.99,gross_margin_percentage,32.45,7.7
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,1/26/2019 0:00,19:54:00,Ewallet,448.6,gross_margin_percentage,22.43,8.2
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,85.11,3/2/2019 0:00,13:01:00,Credit card,81.06,gross_margin_percentage,4.05,7.1
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,3/8/2019 0:00,10:29:00,Cash,76.4,gross_margin_percentage,3.82,9.6
226-34-0034,B,Mandalay,Normal,Female,Electronic accessories,13.78,4,2.756,57.88,1/10/2019 0:00,11:10:00,Ewallet,55.12,gross_margin_percentage,2.76,9
226-71-3580,C,Naypyitaw,Normal,Female,Sports and travel,23.75,9,10.6875,224.44,1/31/2019 0:00,12:02:00,Cash,213.75,gross_margin_percentage,10.69,9.5
227-03-5010,A,Yangon,Member,Female,Home and lifestyle,52.59,8,21.036,441.76,3/22/2019 0:00,19:20:00,Credit card,420.72,gross_margin_percentage,21.04,8.5
227-07-4446,C,Naypyitaw,Member,Female,Electronic accessories,78.13,10,39.065,820.37,2/10/2019 0:00,20:51:00,Cash,781.3,gross_margin_percentage,39.07,4.4
227-50-3718,A,Yangon,Normal,Male,Health and beauty,14.62,5,3.655,76.76,3/4/2019 0:00,12:23:00,Cash,73.1,gross_margin_percentage,3.66,4.4
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.494,535.37,2/15/2019 0:00,12:44:00,Cash,509.88,gross_margin_percentage,25.49,8.4
228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,3/4/2019 0:00,20:39:00,Cash,789.6,gross_margin_percentage,39.48,7.6
232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.09,1/24/2019 0:00,10:04:00,Cash,787.7,gross_margin_percentage,39.39,6.4
232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.53,1/7/2019 0:00,12:28:00,Ewallet,68.12,gross_margin_percentage,3.41,6.8
233-34-0817,C,Naypyitaw,Member,Female,Electronic accessories,98.84,1,4.942,103.78,2/15/2019 0:00,11:21:00,Cash,98.84,gross_margin_percentage,4.94,8.4
233-67-5758,C,Naypyitaw,Normal,Male,Health and beauty,40.35,1,2.0175,42.37,1/29/2019 0:00,13:46:00,Ewallet,40.35,gross_margin_percentage,2.02,6.2
234-03-4040,B,Mandalay,Member,Female,Food and beverages,73.05,10,36.525,767.03,3/3/2019 0:00,12:25:00,Credit card,730.5,gross_margin_percentage,36.53,8.7
234-36-2483,B,Mandalay,Normal,Male,Health and beauty,57.59,6,17.277,362.82,2/15/2019 0:00,13:51:00,Cash,345.54,gross_margin_percentage,17.28,5.1
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,1/16/2019 0:00,13:32:00,Cash,955.8,gross_margin_percentage,47.79,4.8
235-06-8510,C,Naypyitaw,Member,Male,Home and lifestyle,85.72,3,12.858,270.02,1/24/2019 0:00,20:59:00,Ewallet,257.16,gross_margin_percentage,12.86,5.1
